variant,model,exact@n=10,exact@n=12,exact@n=16,exact@n=20,exact@n=24,exact@n=32,follows_prefix(PNTR-like),ignores_prefix(HIST-like),other,n_cases
no PE (main),PNTR,1.0,1.0,0.998046875,0.982421875,0.8681640625,0.2666015625,0.9948275685310364,0.004597701132297516,0.0005747126415371895,1740
no PE (main),HIST,1.0,0.9990234375,0.0341796875,0.0,0.0,0.0,0.01206896547228098,0.8310344815254211,0.15689654648303986,1740
no PE (main),NONE,1.0,1.0,0.9970703125,0.8310546875,0.3115234375,0.001953125,0.7206896543502808,0.21149425208568573,0.06781609356403351,1740
learned PE,PNTR,1.0,1.0,0.99609375,0.9560546875,0.8076171875,0.21875,0.9994252920150757,0.0005747126415371895,0.0,1740
learned PE,HIST,1.0,0.0009765625,0.0,0.0,0.0,0.0,0.014367816038429737,0.8183907866477966,0.16724137961864471,1740
no bottleneck,PNTR,1.0,1.0,1.0,0.994140625,0.556640625,0.001953125,0.7051724195480347,0.2586206793785095,0.03620689734816551,1740
no bottleneck,HIST,1.0,1.0,1.0,0.9755859375,0.8134765625,0.1162109375,0.5919539928436279,0.3333333432674408,0.07471264153718948,1740
