model,seed,L_n(w*),LLC,LLC chain std,exact@n=10,exact@n=12,exact@n=14,exact@n=16,exact@n=20,exact@n=24,exact@n=32,follows prefix,ignores prefix
HIST,0,2.3150095950704037e-06,0.6174509742178951,0.058832421121174566,1.0,0.9990234375,0.7021484375,0.0341796875,0.0,0.0,0.0,0.01206896547228098,0.8310344815254211
HIST,1,2.7297508019825026e-06,0.6214873339661248,0.07060033990922215,1.0,0.9990234375,0.349609375,0.001953125,0.0,0.0,0.0,0.0,0.8833333253860474
HIST,2,1.7905531107177152e-06,0.6059886231439702,0.018329332920607927,1.0,0.99609375,0.703125,0.00390625,0.0,0.0,0.0,0.014942528679966927,0.7701149582862854
NONE,0,1.5428793548288272e-09,0.015475148254625532,0.0036743826313423472,1.0,1.0,1.0,0.9970703125,0.8310546875,0.3115234375,0.001953125,0.7206896543502808,0.21149425208568573
NONE,1,2.721432115279355e-06,0.03650518596607881,0.004509350113666837,1.0,1.0,1.0,0.9990234375,0.8916015625,0.158203125,0.0009765625,0.7321839332580566,0.1867816150188446
NONE,2,5.47478714815147e-06,0.04588026320240817,0.026410873033440495,1.0,1.0,1.0,0.9990234375,0.9013671875,0.4267578125,0.0,0.7356321811676025,0.1867816150188446
PNTR,0,3.369590067057331e-09,1.1779624488740088,0.09816915851183483,1.0,1.0,1.0,0.998046875,0.982421875,0.8681640625,0.2666015625,0.9948275685310364,0.004597701132297516
PNTR,1,1.1003910987520598e-08,1.2217163614519841,0.03901608171446278,1.0,1.0,0.9990234375,0.994140625,0.9287109375,0.7470703125,0.1689453125,1.0,0.0
PNTR,2,8.696891020313093e-09,0.9118136750725254,0.056708300660005644,1.0,1.0,0.9970703125,0.98828125,0.8759765625,0.669921875,0.232421875,0.9672413468360901,0.013793103396892548
