,,hist_R2,hist_count_acc,idx_R2,avail_bit_acc
PNTR,after layer 1,0.7116202116012573,0.7887834310531616,0.8384345769882202,0.9389747977256775
PNTR,after layer 2,0.7200822830200195,0.7924505472183228,0.8319823741912842,0.9999999403953552
HIST,after layer 1,0.986430287361145,0.9991708993911743,0.9965314865112305,0.9929407835006714
HIST,after layer 2,0.9881905913352966,0.9996252655982971,0.998555600643158,0.9932078719139099
NONE,after layer 1,0.8858729004859924,0.9266979694366455,0.9296807050704956,0.9866549372673035
NONE,after layer 2,0.8276094198226929,0.8688934445381165,0.895078718662262,0.9564133882522583
